23383013,Krampusnacht: Twelve Nights of Krampus,Kate Wolford,"Wolford, Kate","Cheresse Burke, Guy Burtenshaw, Jill Corddry, Elise Forier Edie, Patrick Evans, Scott Farrell, Caren Gussoff, Mark Mills, Jeff Provine, Colleen H. Robbins, Lissa Sloan, Elizabeth Twist",0692314741,9780692314746,0,3.67,World Weaver Press,Paperback,205,2014,2014,,2022/10/25,to-read,to-read (#637),to-read,,,,0,0
57322091,A Quiet Mind: Buddhist Ways to Calm the Noise in Your Head,Shoukei Matsumoto,"Matsumoto, Shoukei",,1787395804,9781787395800,0,3.4,Welbeck Publishing,Hardcover,176,2021,2020,,2021/10/25,"owned-to-read, buddhism, to-read","owned-to-read (#171), buddhism (#29), to-read (#636)",to-read,,,,0,0
61176396,Hawkins Horrors (Stranger Things): A Collection of Terrifying Tales,Matthew J. Gilbert,"Gilbert, Matthew J.",,,,0,3.78,,Kindle Edition,,2022,2022,,2022/06/11,"owned-to-read, to-read","owned-to-read (#254), to-read (#635)",to-read,,,,0,0
57062718,The Legend of the Christmas Witch,Daniel Murphy,"Murphy, Daniel","Aubrey Plaza, Julia Iredale",0593350804,9780593350805,0,3.91,Viking Books for Young Readers,Hardcover,56,2021,2021,,2022/10/23,"to-read, christmas","to-read (#634), christmas (#30)",to-read,,,,0,0
59414094,How to Sell a Haunted House,Grady Hendrix,"Hendrix, Grady",,0593201264,9780593201268,0,4.11,Berkley,Hardcover,400,2023,2023,,2022/10/20,"to-read, horror","to-read (#633), horror (#34)",to-read,,,,0,0
62330020,I Choose Darkness,Jenny  Lawson,"Lawson, Jenny",,,,4,4.05,Amazon Original Storie,Kindle Edition,25,2022,2022,,2022/10/19,,,read,,,,1,0
11450097,Art of Mindful Gardening: Sowing the Seeds of Meditation,Ark Redwood,"Redwood, Ark",,1907332596,9781907332593,0,3.92,Ivy Books,Paperback,144,2011,2011,,2022/10/18,"buddhism, gardening, to-read","buddhism (#62), gardening (#12), to-read (#632)",to-read,,,,0,0
8042206,Low Magick: It's All in Your Head ... You Just Have No Idea How Big Your Head Is,Lon Milo DuQuette,"DuQuette, Lon Milo",,0738719242,9780738719245,0,4.23,Llewellyn Publications,Paperback,206,2010,2010,,2022/10/16,"witchcraft, to-read","witchcraft (#55), to-read (#631)",to-read,,,,0,0
119539,Tim Burton's The Nightmare Before Christmas,Tim Burton,"Burton, Tim",,0786849088,9780786849086,5,4.53,Disney Press,Hardcover,48,2006,1993,,2022/10/14,,,read,,,,1,0
36911680,The Saturday Night Ghost Club,Craig Davidson,"Davidson, Craig",,0735274827,9780735274822,0,3.89,Knopf Canada,Hardcover,253,2018,2018,,2022/10/13,"to-read, horror","to-read (#630), horror (#33)",to-read,,,,0,0
61884992,The Way of the Fearless Writer: Mindful Wisdom for a Flourishing Writing Life,Beth Kempton,"Kempton, Beth",,1250892139,9781250892133,0,4.33,St. Martin's Essentials,Paperback,272,2023,,,2022/09/25,"to-read, owned-to-read","to-read (#602), owned-to-read (#258)",to-read,,,,0,0
51731897,Calm Christmas and a Happy New Year: A Little Book of Festive Joy,Beth Kempton,"Kempton, Beth",,,,4,4.05,Scribner,Kindle Edition,224,2020,,2020/12/11,2020/11/19,,,read,,,,1,0
29657410,"Love Magic: Over 250 Magical Spells and Potions for Getting it, Keeping it, and Making it Last",Lilith Dorsey,"Dorsey, Lilith",,1578635926,9781578635924,0,4.18,Weiser Books,Paperback,304,2016,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#280), witchcraft (#54), to-read (#629)",to-read,,,,0,0
5198628,Magic When You Need It: 150 Spells You Can't Live Without,Judika Illes,"Illes, Judika",,1578634199,9781578634194,0,3.76,Weiser Books,Paperback,192,2008,2008,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#279), witchcraft (#53), to-read (#628)",to-read,,,,0,0
30315904,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,Rosalee de la Foret,"Foret, Rosalee de la",,140195006X,9781401950064,0,4.44,"Hay House, Inc.",Paperback,384,2017,2017,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#278), witchcraft (#52), to-read (#627)",to-read,,,,0,0
36342228,"The Witch's Spellbook: Enchantments, Incantations, and Rituals from Around the World",Sarah Bartlett,"Bartlett, Sarah",,1592338232,9781592338238,0,3.77,Fair Winds Press,Hardcover,176,2018,,,2022/10/08,"owned-to-read, witchcraft, to-read","owned-to-read (#277), witchcraft (#51), to-read (#626)",to-read,,,,0,0
